id,empresa_id,ruc,razon_social,direccion,distrito,estado
97a9803d-1c96-52ec-aea6-cc20172bf985,a6f1d8c3-6194-5804-ac16-a98cc205559d,20123301898,ESQUIVEL CONSULTORES SOCIEDAD ANONIMA,AV. UNIVERSITARIA NRO. 776 URB. PANDO (ALT. CDRA 27 DE LA AV LA MARINA) LIMA - LIMA - SAN MIGUEL,SURCO,registrado
49535dad-461a-5fb5-be44-18a75e874a59,a6f1d8c3-6194-5804-ac16-a98cc205559d,20610988114,DISTRIBUIDORA MAJAL,URB. VALLE HERMOSO RESIDENCIAL,MIRAFLORES,registrado
11356732-44c1-551f-a663-f1b89a43c9b2,a6f1d8c3-6194-5804-ac16-a98cc205559d,20537321190,DIMERC PERU S.A.C,"Av. Mariscal Caceres 320, Miraflores",MIRAFLORES,registrado
95fddc60-7a9c-5a23-83d7-4dc685938166,a6f1d8c3-6194-5804-ac16-a98cc205559d,20512255541,BEZANILLA SOCIEDAD ANONIMA CERRADA,CALLE PORTA 130 INT. 607 MIRAFLORES -LIMA,MIRAFLORES,registrado
5405fd7b-4918-595a-9d8e-3247550fb6ac,a6f1d8c3-6194-5804-ac16-a98cc205559d,20555779276,LUIS ROMAN S.A.C,AV 15 DE JUNIO MZA L LOTE 6 URB LADERAS DE CHILLON,PUENTE PIEDRA,registrado
0b418601-c102-5e2f-834b-5ffa3bcc9689,a6f1d8c3-6194-5804-ac16-a98cc205559d,10451426121,BECERRA BUENDIA VALERIA,ASOC LOS ALAMOS MZ Q LOTE 18,CALLAO,registrado
44deae17-25aa-5301-98a7-273fdce1224f,a6f1d8c3-6194-5804-ac16-a98cc205559d,20605815155,SEGUPAZ EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA - SEGUPAZ E.I.R.L,CAL.LAS LILAS NRO. 126 DPTO. 101 URB. VALLE HERMOSO LIMA - LIMA - SANTIAGO DE SURCO,SURCO,registrado
7d72dd2d-74d2-5742-b41b-c7530e5de88b,a6f1d8c3-6194-5804-ac16-a98cc205559d,20536689096,COMERCIAL DISTRIBUIDORA BAYONA S.A.C,CAL. JOSE ABELARDO QUIÑONES NRO 133,COMAS,registrado
7eb15a07-6dfe-5732-a35c-214a78979522,a6f1d8c3-6194-5804-ac16-a98cc205559d,20601440181,AMSA SECURITY S.A.C,AV. UNIVERSITARIA NRO. 477 URB. CONDEVILLA DEL SEÑOR LIMA - LIMA - SAN MARTIN DE PORRES,SAN MARTIN DE PORRES,registrado
a0456372-0664-542f-a98c-a6225a23e6b3,a6f1d8c3-6194-5804-ac16-a98cc205559d,20602530010,SAFETY INDUSTRY CORPORATION S.R.L RUC,MZA. M LOTE. 27 A.V. CHILLÓN LIMA - LIMA - PUENTE PIEDRA,PUENTE PIEDRA,registrado
4228a080-9487-5dd4-ae5f-f97aa80c4572,a6f1d8c3-6194-5804-ac16-a98cc205559d,20600537190,Q & M CONSULTORES E INGENIEROS S.A.C,JR. EL BOSQUE N° 172 URB. HUERTA SANTA LUCIA - ATE - LIMA D,ATE,registrado
26a436bc-59c4-5a30-8314-23711c19fcbd,a6f1d8c3-6194-5804-ac16-a98cc205559d,20296550222,NELKAREL SAC,"Calle Isidoro Suarez 444, Maranga, San Miguel",SAN MIGUEL,registrado
e0c427bf-3ff7-525c-874c-074ba7623fc2,a6f1d8c3-6194-5804-ac16-a98cc205559d,10086484710,EXPRESION GRAFICA,JR ICA 565 INT 110,LIMA,registrado
e72e7129-634f-5400-87f3-6833d859c746,a6f1d8c3-6194-5804-ac16-a98cc205559d,20611225262,BEK INVERSIONES S.A.C,"CAL.VIZCARDO Y GUZMAN MZA. E LOTE. 3 URB. LA MADRID LIMA -
LIMA",SAN MARTIN DE PORRES,registrado
3657662c-9c81-578d-bb9b-f2f0bcc4ff81,a6f1d8c3-6194-5804-ac16-a98cc205559d,20606012366,TOP TECH CORPORATION S.A.C,JR. DANIEL CARRION NRO. 835 DPTO. 1M LIMA - LIMA - MAGDALENA DEL MAR,MAGDALENA DEL MAR,registrado
b645b3aa-f8c5-5c70-8721-af894be5a9ed,a6f1d8c3-6194-5804-ac16-a98cc205559d,20510108761,SMART FACTORY SAC,JR. MARISCAL MILLER NRO. 1083 (ENTRE ARENALES Y CUBA) LIMA - LIMA - JESUS MARI,LINCE,registrado
03bfe5e5-c446-578f-88ad-b25b95754521,a6f1d8c3-6194-5804-ac16-a98cc205559d,20523911644,SJ SERVI S.A.C,AV MANUEL GONZALES PRADA SECT. 01 580 URB VILLA LOS ANGELES,LOS OLIVOS,registrado
c8a983d0-0288-5a5d-b363-2a639728593d,a6f1d8c3-6194-5804-ac16-a98cc205559d,20555570474,SERGEV CLAER S.A.C,AV. MARISCAL OSCAR R. BENAVIDES NRO. 878 DPTO. A305 URB. LIMA INDUSTRIAL LIMA - LIMA -LIMA,LIMA,registrado
54487c70-ced4-57b2-9409-1341de8c4036,a6f1d8c3-6194-5804-ac16-a98cc205559d,2060692738,PACKING PERU EXPRESS S.A.C,PRO.RICARDO PALMA NRO. 160 URB. CERCADO LIMA - LIMA - SURQUILLO,SURQUILLO,registrado
266ad55e-f04b-5859-9b2d-ec1463bfbeb9,a6f1d8c3-6194-5804-ac16-a98cc205559d,20521937531,OR MAQUINARIAS S.A.C,AV ASTURIAS NRO 315 URB MAYORAZGO LIMA LIM ATE,ATE,registrado
cae787b4-30d8-5dfc-b540-ba0b9a4e2ca2,a6f1d8c3-6194-5804-ac16-a98cc205559d,20100862132,ISETEK S A,AV. ALBERTO ALEXANDER 2201 LINCE - LIMA,LINCE,registrado
469a46e6-8066-5be1-aa8f-077b7e57774b,a6f1d8c3-6194-5804-ac16-a98cc205559d,20610058133,ESTILO OFICINA PERU SAC,Sector 1 - Grupo 7 - Manzana F - Lote 13 - Villa El Salvador - Lima - Perú,VILLA EL SALVADOR,registrado
623241dc-7787-577c-9574-8c141c6df0c3,a6f1d8c3-6194-5804-ac16-a98cc205559d,20610052011,CIMA GROUP PERU S.A.C,"AV MANJR. ANCASH NRO. 2166 P.J. ANCIETA ALTA ET. UNO (FRENTE AL MAC DE LOS
PARQUES DELAGUSTIN) LIMA - LIMA - EL AGUSTINOUEL GONZALES PRADA SECT. 01
580 URB VILLA LOS ANGELES",EL AGUSTINO,registrado
f1350b8c-29e2-5b72-bcaa-ae190e5be92f,a6f1d8c3-6194-5804-ac16-a98cc205559d,20155945860,PONTIFICA UNIVERSIDAD CATOLICA DEL PERU,AV UNIVERSITARIA 1801 URB PANDO,SAN MIGUEL,registrado
a2039bd8-2563-59ad-bdd6-b4db46e6afe7,a6f1d8c3-6194-5804-ac16-a98cc205559d,20521151324,LABORATORIO INGGEOS S.A.C,ASOC. EL PROGRESO MZ K LOTE 14 PAMPLONA BAJA,SAN JUAN DE MIRAFLORES,registrado
61919884-6cfa-540f-a194-9c65dca7183f,a6f1d8c3-6194-5804-ac16-a98cc205559d,20547958072,CRIOGENICA JCB SERVICE SAC,CAL.RIO CAPLINA NRO. 149 URB. SANTA ISOLINA (AV MEXICO Y AV UNIVERSITARIA) LIMA - LIMA - COMAS,MAGDALENA DEL MAR,registrado
8cd0feff-f92a-5f0a-a079-bd0ed766cef0,a6f1d8c3-6194-5804-ac16-a98cc205559d,20431084172,ANCRO S.R.L,SANTA ANITA URB. LOS FICUS AV. LOS CIPRESES,SANTA ANITA,registrado
d0b71032-44b3-532c-abb1-15a49f222f1b,a6f1d8c3-6194-5804-ac16-a98cc205559d,20605979654,AGUA SAVI S.A.C,AV. SAN MARTIN SUBTANJALLA - ICA,SUBTANJALLA,registrado
bc80dd51-3342-5416-9184-5fc28f01463d,a6f1d8c3-6194-5804-ac16-a98cc205559d,20452225949,AGREGADOS Y CONCRETOS S.R.L. AGRECON S.R.L,CAL.MARGARITAS NRO. 308 INT. 201 URB. SAN ISIDRO (MZ F3 LOTE 04) ICA - ICA - ICA,SAN ISIDRO,registrado
6eeed7cb-ce78-5b4b-8ea3-719d391dd7cf,a6f1d8c3-6194-5804-ac16-a98cc205559d,20611031999,SIL & M CONSTRUCCIONES SAC,CALLE LAS ENCINAS 180 URB EL VOLANTE - INDEPENDENCIA,INDEPENDENCIA,registrado
37ded685-5fe6-5c86-b454-a3245ad4bf55,a6f1d8c3-6194-5804-ac16-a98cc205559d,20535120898,EMPRESA DE TRANSPORTE CARFRA S.A.C,JR. 23 DE MAYO NRO. 372 (OVALO DE LA AMISTAD) ICA - CHINCHA - PUEBLO NUEVO,CHINCHA,registrado
2f46bbf6-5699-526e-bd7e-64523148ddca,a6f1d8c3-6194-5804-ac16-a98cc205559d,20603477490,DISTRIBUIDORA FABIANAPLAST E.I.R.L,CAL. ORONGO 290 A.H. ACOMAYO ZN.B PARCONA - ICA - ICA,ICA,registrado
4269627d-f3a3-5ca8-9335-6f68e638a1a2,a6f1d8c3-6194-5804-ac16-a98cc205559d,20609119617,CONSTRUCTORA Y CONSULTORIA J.A.E. E.I.R.L,A.H. ANGAMOS SECTOR 2 PISO 3,VENTANILLA,registrado
83151023-0d0b-5c18-99bf-ea82d7cbe0f2,a6f1d8c3-6194-5804-ac16-a98cc205559d,20602413901,WUARU WUARU SAC,CAL.LAS ACACIAS NRO. 127 URB. SAN ISIDRO (COSTADO DEL MERCADO LA PALMA) ICA - ICA - ICA,ICA,registrado
ea0d1fb8-f565-5e12-a65c-96ff1c29aa76,a6f1d8c3-6194-5804-ac16-a98cc205559d,20601677556,TRANSPORTES ANYVA S.A.C,CALLE EL UNIVERSIO MZ W LOTE 04 URB LA CAMPIÑA,CHORRILLOS,registrado
144a32f0-3aa0-5393-ad78-9a67ecd3dccc,a6f1d8c3-6194-5804-ac16-a98cc205559d,20452587182,SERPICO,AV SAN MARTIN 123 IC A,ICA,registrado
02f82595-f69d-5275-a621-350eb6c03fab,a6f1d8c3-6194-5804-ac16-a98cc205559d,20600516966,OXY SUPPLY SERVICES S.A.C,AL.DIEGO QUISPE TITO NRO. 288 URB. PANDO ET. SIETE,SAN MIGUEL,registrado
6f178344-106a-5773-a890-da7b113b2829,a6f1d8c3-6194-5804-ac16-a98cc205559d,20535793612,G & X MAQUINARIA EIRL,URB. LA FLORIDA CAL. DICISIETE 1037,ICA,registrado
70e55dab-02f7-53cb-a4d5-b2b40b214614,a6f1d8c3-6194-5804-ac16-a98cc205559d,20609030420,FIME NEGOCIOS INDUSTRIALES E.I.R.L,AV. ARGENTINA NRO. 477 INT. 113,CERCADO DE LIMA,registrado
8b69da25-f46c-535d-8753-0b8784ebd0c7,a6f1d8c3-6194-5804-ac16-a98cc205559d,20611155612,DAMSA PERU SAC,CAL.CERRO GRIS NRO. 324 URB. SAN IGNACIO LIMA,ICA,registrado
b38ad1f0-45d6-5e3d-b49e-cfd989e899ab,a6f1d8c3-6194-5804-ac16-a98cc205559d,10214448195,MUÑOZ SANCHEZ DIONICIO FELIPE,CAL. ANTONIA MORENO DE CACERES 240 MANZANILLA,ICA,registrado
600f433a-0d48-5d87-bf77-5892cf97464e,a6f1d8c3-6194-5804-ac16-a98cc205559d,20608228447,FERRETERIA DEL PACIFICO S.A.C,MZA. D LOTE. 08 PRADERAS DEL SOL 4 ETP LIMA - LIMA - SAN MARTIN DE PORRES DISTRITO,LIMA,registrado
bca66c1f-bbf7-5f8e-be4c-a9844a5e7db6,a6f1d8c3-6194-5804-ac16-a98cc205559d,20565620011,JAT TRANSCARGA LOGISTIC E.I.R.L,"AV. VIRGEN DEL CARMEN MZA. J1 LOTE. 4 URB. SAN DIEGO
(ENTRE FINAL AV CANTA CALLAO Y RIO CHILLO) LIMA - LIMA",PUENTE PIEDRA,registrado
b14f4b29-31ac-56a4-b03c-3b282dcb019f,a6f1d8c3-6194-5804-ac16-a98cc205559d,20544739230,ARNALDO SERVICE E.I.R.L,CAL.FRANCISCO VIDAL DE LAOS NRO. 461,SANTIAGO DE SURCO,registrado
a01b0037-cabf-5154-b103-6f8d921ed097,a6f1d8c3-6194-5804-ac16-a98cc205559d,10462433951,ALANIA MENDOZA MARYLIN ESPERANZA,URB. MARISCAL CACERES,SANTIAGO DE SURCO,registrado
656fa242-97ea-52c0-9087-d8367b6ed6c4,a6f1d8c3-6194-5804-ac16-a98cc205559d,10421077229,ALANIA MENDOZA DENIS STEED,URB. MARISCAL CACERES,SANTIAGO DE SURCO,registrado
c0e00dfa-e48f-5cc4-9391-efab53724188,a6f1d8c3-6194-5804-ac16-a98cc205559d,20601484995,CORPORACION Y CONSTRUCTORA M & L S.A.C,MZA. C LOTE. 01 URB. SAN CRISTOBAL LIMA - LIMA - CARABAYLL,CARABAYLLO,registrado
0b892670-7540-5667-a5a4-8b45bc8fd116,a6f1d8c3-6194-5804-ac16-a98cc205559d,20602253687,BLÁGOR ASOCIADOS S.A.C,CALLE 5 URB. LOS JAZMINES MZ J LT 1 III ETAPA CALLAO,CALLAO,registrado
9802ca7d-2818-5d28-af5b-c138d3f8c77f,a6f1d8c3-6194-5804-ac16-a98cc205559d,20261239923,SEDISA S.A.C,AV CIRCUNVALACION CLUB GOLF LOS INKAS 154,SANTIAGO DE SURCO,registrado
17ee656a-dabb-563f-8c10-2e1c013eb1a7,a6f1d8c3-6194-5804-ac16-a98cc205559d,20535101320,REDAJE ICA E.I.R.L,URB CASUARINAS I ETAPA MZ A LT 57,ICA,registrado
b14ee9c6-e831-5157-8b47-78e1a693e0d0,a6f1d8c3-6194-5804-ac16-a98cc205559d,20600478509,CIA DE TRANSPORTES Y CONSTRUCCION VELASQUEZ E HIJOS E.I.R.L,"MZ N LOTE 9 ASOCIACION DE VIVIENDA LOS SAUCES - PUENTE
PIEDR",PUENTE PIEDRA,registrado
1e886e34-a8a9-5657-bc62-f25e495a0431,a6f1d8c3-6194-5804-ac16-a98cc205559d,20614130009,BOREAL SECURITY EIRL. RUC,"CALLE LAS LILAS N°126 DPTO. 101 URB. VALLE HERMOSO -
SURCO - LIMA
PIEDR",SURCO,registrado
c1841acc-3af1-5366-a45f-403dfe72e32b,a6f1d8c3-6194-5804-ac16-a98cc205559d,20538027961,VILLAR-ROMERO S.A.C,"MZ N LOTE 9 ASOCIACION DE VIVIENDA LOS SAUCES - PUENTE
PIEDRA",LIMA,registrado
4dc31e2d-01ef-5d41-bdbd-4267bf8516b0,a6f1d8c3-6194-5804-ac16-a98cc205559d,20101156631,TRANSFORMADORA METALICA Y COMERCIALIZADORA S.A.C,AV. INTIHUATANA NRO. 857 URB. HIGUERETA,LIMA,registrado
f73f622b-0f2d-52aa-bbb5-c9545601321a,a6f1d8c3-6194-5804-ac16-a98cc205559d,20604995486,METALMECANICA EBENEZER EIRL,"AV, 1 DE MAYO 2477 COPORACION LOS HUANCAS - EL AGUSTINO",EL AGUSTINO,registrado
14d57124-794e-576f-b9c4-a95cb70241dc,a6f1d8c3-6194-5804-ac16-a98cc205559d,10211220185,INGARUCA SALAZAR JULIAN ANGEL,"MZ N LOTE 9 ASOCIACION DE VIVIENDA LOS SAUCES - PUENTE
PIEDRA",LIMA,registrado
e314a923-e900-563f-ace8-5403870d8016,a6f1d8c3-6194-5804-ac16-a98cc205559d,20609509997,GLOBAL TRADE G&M E.I.R.L,ASC. VISTA ALEGRE,LIMA,registrado
c228c04a-6f4d-5d0a-8512-781040de0cb3,a6f1d8c3-6194-5804-ac16-a98cc205559d,20603826974,CORPORACION E INVERSIONES C & B S.A.C,PACHACAMAC LIMA,PACHACAMAC,registrado
4245ae2f-6c4b-55d1-abec-e557115ad979,a6f1d8c3-6194-5804-ac16-a98cc205559d,10040074444,ALANIA OSCATEGUI DUETZ ALEX,MARISCAL CACERES SECT,LIMA,registrado
c6afa872-f027-527e-9f3f-c8d40e97b3ce,a6f1d8c3-6194-5804-ac16-a98cc205559d,20602877796,EQUIPOS DE PROTECCION PERUANOS S.A.C.,CALLE FRANCISCO O'CONNOR 123-SAN BORJA- LIMA,SAN LUIS,registrado
632a4ec9-4372-503d-801a-8ce5f0c250f2,a6f1d8c3-6194-5804-ac16-a98cc205559d,20601692393,FI - PA SERVICIOS GENERALES S.R.L,CALLE S/N URB PERRICHOLI MZ C LOTE 1,RIMAC,registrado
1a520a98-4706-51e1-9268-79a79370b056,a6f1d8c3-6194-5804-ac16-a98cc205559d,20601334497,AYMURAY SAFETY SOCIEDAD ANONIMA CERRADA,A.H. HORACIO ZEVALLOS MZ A LOTE 17,RIMAC,registrado
c45232c3-f8ae-5761-b80d-aff7068e6d50,a6f1d8c3-6194-5804-ac16-a98cc205559d,20606208554,SGA INDUSTRIAL S.A.C,JR LIBERTAD URB PERU 3768,SAN MARTIN DE PORRES,registrado
d4d595cc-3637-5b2f-aa08-7ff8047a79a5,a6f1d8c3-6194-5804-ac16-a98cc205559d,20611155671,CORPORACION ALAYO GRUOP S.A.C,URB. LOS PINOS MZ. D LT 18 - PUENTE PIEDRA - LIMA,PUENTE PIEDRA,registrado
d1365a1d-6f51-5268-9ebd-699cbe3c5ef0,a6f1d8c3-6194-5804-ac16-a98cc205559d,20603039531,BI CONCRETOS SAC,VERTIENTES CALLE 9 MZ I 1 LOTE 2,VILLA EL SALVADOR,registrado
28c88eea-e0c9-5d18-9711-a24553074553,a6f1d8c3-6194-5804-ac16-a98cc205559d,20608379011,J & W INGENIERIA EN GAS NATURAL S.A.C,"CAL.DALIAS MZA. K LOTE. 08 INT. 1 A.H. LOS OLIVOS PRO LIMA -
LIMA",LOS OLIVOS,registrado
fbe11e7b-0503-50a7-9dda-c335f7bac08f,a6f1d8c3-6194-5804-ac16-a98cc205559d,20522347869,"MAQUINAS Y EQUIPOS VILLANUEVA S.A.C. - M & E VILLANUEVA
S.A.C","AV. REPUBLICA DE PANAMA NRO. 5055 URB. CERCADO LIMA -
LIMA - SURQUILLO",SURQUILLO,registrado
a407c82a-4654-5e94-9875-b6cc2453d812,a6f1d8c3-6194-5804-ac16-a98cc205559d,20601217440,INVERSIONES LUYAR S.A.C,"MZA. B13 LOTE. 3 ASC. VILLA ALBORADA (EX FDO TARO ALT
PARADERO LA ALBORADA)
LIMA - LIMA",PUENTE PIEDRA,registrado
7606996b-2237-547c-b88f-6e98b2f720e9,a6f1d8c3-6194-5804-ac16-a98cc205559d,20603618379,TRANSPORTES OLYMPIC E.I.R.L,"AV. CULTURA MZA. B LOTE. 7 P.J. CIUDAD BLANCA ZN D
AREQUIPA",AREQUIPA,registrado
bbace857-e8bc-58fd-afeb-ee98cad90261,a6f1d8c3-6194-5804-ac16-a98cc205559d,20112809512,TRANSPORTES LOS ARRIEROS S.A.C,"CAL.TRES MZA. E LOTE. 7 URB. IND.STA RAQUEL II ETAPA (CRUCE
AV SEP.INDUSTRIAL/AV INGENIEROS) LIMA - LIMA - ATE",ATE,registrado
2d6ed2cb-4fea-524b-a9db-a4bfcf1da725,a6f1d8c3-6194-5804-ac16-a98cc205559d,20605608591,H.R.V. MAQUINARIAS Y TRANSPORTES S.A.C. - H.R.V. MT S.A.C.,"MZA. G LOTE. 14 A.H. PROY. INT. NUEVA ALIANZA SCT CERRITO
ALEGRE - PARC II (COMISARIA MARISCAL CACERES) LIMA - LIMA",SAN JUAN DE LURIGANCHO,registrado
ecb523dc-d599-5f6a-b8d0-be6766e2bd4e,a6f1d8c3-6194-5804-ac16-a98cc205559d,10414447495,GUTIERREZ ALVARADO CARMEN VERONICA,ICA,ICA,registrado
7d4de0d2-de3a-5e4e-a478-658458da593a,a6f1d8c3-6194-5804-ac16-a98cc205559d,20610595848,G & C EQUIPOS S.A.C,"MZA. C4 LOTE. 13 URB. TERCER MUNDO (A MEDIA CUADRA DE LA
RENIEC) LIMA",CAÑETE,registrado
411b169f-5135-5173-8f9a-4e00a3784ba5,a6f1d8c3-6194-5804-ac16-a98cc205559d,20367525135,SUPER GRIFO CHINCHA S.A.C R,"CAR.PANAMERICANA SUR NRO. 791 (KM. 197.5 FRENTE A
FARVET) ICA - CHINCHA - CHINCHA ALTA",ICA,registrado
0a8e173f-11a1-531a-bb86-f0bfdca2daad,a6f1d8c3-6194-5804-ac16-a98cc205559d,20557201263,GENERAL SERVICE JUESMMAN S.A.C,CAL.1 NRO. 245 URB. CARABAYLLO ET. UNO LIMA - LIMA - COMA,COMAS,registrado
a1758b75-b06b-59f8-b171-fae955fa334b,a6f1d8c3-6194-5804-ac16-a98cc205559d,20548527113,DERCOCENTER S.A.C.,"CAL.MARGARITAS NRO. 308 INT. 201 URB. SAN ISIDRO (MZ F3
LOTE 04) ICA - ICA - ICA",SURCO,registrado
9b26f9ec-608c-5beb-b799-f7140f259fa9,a6f1d8c3-6194-5804-ac16-a98cc205559d,20523526147,INGHENOR EIRL,IRON PUERTO ETEN 191. SURCO,SURCO,registrado
28dd1de8-3b1b-58e7-9fdd-5667fe8e118b,a6f1d8c3-6194-5804-ac16-a98cc205559d,20605399534,SHF CORPORATION S.A.C.,CAL.SANTA ROSA NRO. 367 INT. 701 SURQUILLO,SURQUILLO,registrado
409b1fb1-7127-52cf-b40a-93d142c2316b,a6f1d8c3-6194-5804-ac16-a98cc205559d,10407659029,MELGAREJO RIVERA JAVIER FELIPE,LIMA,ATE,registrado
ab803cff-e869-5a2e-8ac6-e5224abca05c,a6f1d8c3-6194-5804-ac16-a98cc205559d,20144304315,LADRILLERA CALDERON S.A.C,"AV. SANTA ROSA KM. 14.5 MZA. P LOTE. 11-B Z.I. SANTA ROSA
LIMA - LIMA",LIMA,registrado
1eb8ec94-5ed4-5d2a-8c00-70f5da6767aa,a6f1d8c3-6194-5804-ac16-a98cc205559d,20510984553,JEPESA SAC,CALLE LOS TUCANES 153 URB SAN JOSE DE BELLAVISTA,CALLAO,registrado
0f3f42e8-b5a3-560d-9027-079d3b954c20,a6f1d8c3-6194-5804-ac16-a98cc205559d,10078453864,SUSANA NAVARRO CCOILLO,JIRON DOÑA CATALINA 444 - URB LOS ROSALES - SANTIAGO DE SURCO - LIMA,SANTIAGO DE SURCO,registrado
64fe3f38-ea4d-5cc3-9da0-07792554887e,a6f1d8c3-6194-5804-ac16-a98cc205559d,20613296981,TT COMEX SAC,JR TACNA 380 - DPTO 111 - MAGDALENA DEL MAR,MAGDALENA DEL MAR,registrado
3dc9688e-c3e4-5f05-bf81-9d4be663a87f,a6f1d8c3-6194-5804-ac16-a98cc205559d,20605042903,IMPORTADORA Y DISTRIBUIDORA YUVELOR S.R.L. RUC,Av.Bauzate y Meza 595 La Victoria,LA VICTORIA,registrado
236db71b-8c2f-5b0c-8ffa-59647775b61c,a6f1d8c3-6194-5804-ac16-a98cc205559d,20602541208,INGENIERIA EN PROCESOS METALICOS EIRL,AV LOS FAISANES 613 CHORRILLOS LIMA,CHORRILLOS,registrado
117a4c71-0136-5d4c-bab7-09145c966801,a6f1d8c3-6194-5804-ac16-a98cc205559d,20610754407,HOME ESSENTIALS PERU SAC,AV. LA PAZ 794 SAN MIGUEL,SAN MIGUEL,registrado
8ab89512-a953-5d0c-aaab-347be8e8005b,a6f1d8c3-6194-5804-ac16-a98cc205559d,20613896024,CAPITAL EDGE S.A.C.,AVENIDA TACNA 359,SAN MIGUEL,registrado
7de90eb2-ddcb-5ae8-9586-92079b1bf18b,a6f1d8c3-6194-5804-ac16-a98cc205559d,20258352638,MACC-HER REPRESENTACIONES SRLTDA,JR RIO TUMBES 262,SAN LUIS,registrado
910b1d9f-6755-55cd-bdca-8327d0a8a954,a6f1d8c3-6194-5804-ac16-a98cc205559d,20600585658,C & M INGENIERIA Y SUMINISTRO S.A.C.,CAL.GERMAN SCHREIBER NRO. 276 (CANAVAL Y MOREYRA Y CALLE SCHREIBER) - SAN ISIDRO -LIMA,ICA,registrado
6b77234c-5b76-5e9d-b941-8d366ad794e9,a6f1d8c3-6194-5804-ac16-a98cc205559d,20606657235,MULTISERVICIOS ROJAS RAMIREZ E.I.R.L.,PQ. SANTA ROSA MZA. B LOTE. 15 URB. VALLE HERMOSO LIMA - CAÑETE - SAN VICENTE DE CAÑETE / AVENIDA VIENA 356 - LA TINGUIÑA - ICA,ICA,registrado
dd243027-2d07-5966-acf5-795cabf1c32b,a6f1d8c3-6194-5804-ac16-a98cc205559d,20612335509,CONSTRUCCIONES Y EDIFICACIONES L & L S.A.C,"A.H. TIWINZA MZ. I LOTE 19, PROV. CONST. DEL CALLAO - CALLAO",CALLAO,registrado
19f2cac7-9fe4-5178-9090-7ee77eb585b8,a6f1d8c3-6194-5804-ac16-a98cc205559d,20603223803,COMERCIAL DE LIMPIEZA FIGUEROA E.I.R.L.-CODELIF E.I.R.L.,JR. TUNGASUCA 142 URB. TUPAC AMARU INDEPENDENCIA LIMA,INDEPENDENCIA,registrado
749ba267-22b5-5167-a756-ebb390d9952b,a6f1d8c3-6194-5804-ac16-a98cc205559d,20608998871,CB SOLUCIONES GLOBALES S.A.C,PASAJE SATÉLITE SANTA ROSA MZ C LOTE 7-SAN MARTIN DE PORRES-LIMA,SAN MARTIN DE PORRES,registrado
d1267575-5cff-542a-baa9-6bb5e55e60c4,a6f1d8c3-6194-5804-ac16-a98cc205559d,20294866117,CABLES ELECTRICOS BRANDE SAC,JR LONDRAS 457 LA VICTORIA,LA VICTORIA,registrado
