ruc,razon_social,distrito,direccion
20261239923,SEDISA S.A.C,SANTIAGO DE SURCO,AV CIRCUNVALACION CLUB GOLF LOS INKAS 154
20535101320,REDAJE ICA E.I.R.L,ICA,URB CASUARINAS I ETAPA MZ A LT 57
20600478509,CIA DE TRANSPORTES Y CONSTRUCCION VELASQUEZ E HIJOS E.I.R.L,PUENTE PIEDRA,"MZ N LOTE 9 ASOCIACION DE VIVIENDA LOS SAUCES - PUENTE
PIEDR"
20614130009,BOREAL SECURITY EIRL. RUC,SURCO,"CALLE LAS LILAS N°126 DPTO. 101 URB. VALLE HERMOSO -
SURCO - LIMA
PIEDR"
20538027961,VILLAR-ROMERO S.A.C,LIMA,"MZ N LOTE 9 ASOCIACION DE VIVIENDA LOS SAUCES - PUENTE
PIEDRA"
20101156631,TRANSFORMADORA METALICA Y COMERCIALIZADORA S.A.C,LIMA,AV. INTIHUATANA NRO. 857 URB. HIGUERETA
20604995486,METALMECANICA EBENEZER EIRL,EL AGUSTINO,"AV, 1 DE MAYO 2477 COPORACION LOS HUANCAS - EL AGUSTINO"
10211220185,INGARUCA SALAZAR JULIAN ANGEL,LIMA,"MZ N LOTE 9 ASOCIACION DE VIVIENDA LOS SAUCES - PUENTE
PIEDRA"
20609509997,GLOBAL TRADE G&M E.I.R.L,LIMA,ASC. VISTA ALEGRE
20603826974,CORPORACION E INVERSIONES C & B S.A.C,PACHACAMAC,PACHACAMAC LIMA
10040074444,ALANIA OSCATEGUI DUETZ ALEX,LIMA,MARISCAL CACERES SECT
20602877796,EQUIPOS DE PROTECCION PERUANOS S.A.C.,SAN LUIS,CALLE FRANCISCO O'CONNOR 123-SAN BORJA- LIMA
20601692393,FI - PA SERVICIOS GENERALES S.R.L,RIMAC,CALLE S/N URB PERRICHOLI MZ C LOTE 1
20601334497,AYMURAY SAFETY SOCIEDAD ANONIMA CERRADA,RIMAC,A.H. HORACIO ZEVALLOS MZ A LOTE 17
20606208554,SGA INDUSTRIAL S.A.C,SAN MARTIN DE PORRES,JR LIBERTAD URB PERU 3768
20611155671,CORPORACION ALAYO GRUOP S.A.C,PUENTE PIEDRA,URB. LOS PINOS MZ. D LT 18 - PUENTE PIEDRA - LIMA
20603039531,BI CONCRETOS SAC,VILLA EL SALVADOR,VERTIENTES CALLE 9 MZ I 1 LOTE 2
20608379011,J & W INGENIERIA EN GAS NATURAL S.A.C,LOS OLIVOS,"CAL.DALIAS MZA. K LOTE. 08 INT. 1 A.H. LOS OLIVOS PRO LIMA -
LIMA"
20522347869,"MAQUINAS Y EQUIPOS VILLANUEVA S.A.C. - M & E VILLANUEVA
S.A.C",SURQUILLO,"AV. REPUBLICA DE PANAMA NRO. 5055 URB. CERCADO LIMA -
LIMA - SURQUILLO"
20601217440,INVERSIONES LUYAR S.A.C,PUENTE PIEDRA,"MZA. B13 LOTE. 3 ASC. VILLA ALBORADA (EX FDO TARO ALT
PARADERO LA ALBORADA)
LIMA - LIMA"
20603618379,TRANSPORTES OLYMPIC E.I.R.L,AREQUIPA,"AV. CULTURA MZA. B LOTE. 7 P.J. CIUDAD BLANCA ZN D
AREQUIPA"
20112809512,TRANSPORTES LOS ARRIEROS S.A.C,ATE,"CAL.TRES MZA. E LOTE. 7 URB. IND.STA RAQUEL II ETAPA (CRUCE
AV SEP.INDUSTRIAL/AV INGENIEROS) LIMA - LIMA - ATE"
20605608591,H.R.V. MAQUINARIAS Y TRANSPORTES S.A.C. - H.R.V. MT S.A.C.,SAN JUAN DE LURIGANCHO,"MZA. G LOTE. 14 A.H. PROY. INT. NUEVA ALIANZA SCT CERRITO
ALEGRE - PARC II (COMISARIA MARISCAL CACERES) LIMA - LIMA"
10414447495,GUTIERREZ ALVARADO CARMEN VERONICA,ICA,ICA
20610595848,G & C EQUIPOS S.A.C,CAÑETE,"MZA. C4 LOTE. 13 URB. TERCER MUNDO (A MEDIA CUADRA DE LA
RENIEC) LIMA"
20367525135,SUPER GRIFO CHINCHA S.A.C R,ICA,"CAR.PANAMERICANA SUR NRO. 791 (KM. 197.5 FRENTE A
FARVET) ICA - CHINCHA - CHINCHA ALTA"
20557201263,GENERAL SERVICE JUESMMAN S.A.C,COMAS,CAL.1 NRO. 245 URB. CARABAYLLO ET. UNO LIMA - LIMA - COMA
20548527113,DERCOCENTER S.A.C.,SURCO,"CAL.MARGARITAS NRO. 308 INT. 201 URB. SAN ISIDRO (MZ F3
LOTE 04) ICA - ICA - ICA"
20523526147,INGHENOR EIRL,SURCO,IRON PUERTO ETEN 191. SURCO
20605399534,SHF CORPORATION S.A.C.,SURQUILLO,CAL.SANTA ROSA NRO. 367 INT. 701 SURQUILLO
10407659029,MELGAREJO RIVERA JAVIER FELIPE,ATE,LIMA
20144304315,LADRILLERA CALDERON S.A.C,LIMA,"AV. SANTA ROSA KM. 14.5 MZA. P LOTE. 11-B Z.I. SANTA ROSA
LIMA - LIMA"
20510984553,JEPESA SAC,CALLAO,CALLE LOS TUCANES 153 URB SAN JOSE DE BELLAVISTA
10078453864,SUSANA NAVARRO CCOILLO,SANTIAGO DE SURCO,JIRON DOÑA CATALINA 444 - URB LOS ROSALES - SANTIAGO DE SURCO - LIMA
20613296981,TT COMEX SAC,MAGDALENA DEL MAR,JR TACNA 380 - DPTO 111 - MAGDALENA DEL MAR
20605042903,IMPORTADORA Y DISTRIBUIDORA YUVELOR S.R.L. RUC,LA VICTORIA,Av.Bauzate y Meza 595 La Victoria
20602541208,INGENIERIA EN PROCESOS METALICOS EIRL,CHORRILLOS,AV LOS FAISANES 613 CHORRILLOS LIMA
20610754407,HOME ESSENTIALS PERU SAC,SAN MIGUEL,AV. LA PAZ 794 SAN MIGUEL
20613896024,CAPITAL EDGE S.A.C.,SAN MIGUEL,AVENIDA TACNA 359
20258352638,MACC-HER REPRESENTACIONES SRLTDA,SAN LUIS,JR RIO TUMBES 262
20600585658,C & M INGENIERIA Y SUMINISTRO S.A.C.,ICA,CAL.GERMAN SCHREIBER NRO. 276 (CANAVAL Y MOREYRA Y CALLE SCHREIBER) - SAN ISIDRO -LIMA
20606657235,MULTISERVICIOS ROJAS RAMIREZ E.I.R.L.,ICA,PQ. SANTA ROSA MZA. B LOTE. 15 URB. VALLE HERMOSO LIMA - CAÑETE - SAN VICENTE DE CAÑETE / AVENIDA VIENA 356 - LA TINGUIÑA - ICA
20612335509,CONSTRUCCIONES Y EDIFICACIONES L & L S.A.C,CALLAO,"A.H. TIWINZA MZ. I LOTE 19, PROV. CONST. DEL CALLAO - CALLAO"
20603223803,COMERCIAL DE LIMPIEZA FIGUEROA E.I.R.L.-CODELIF E.I.R.L.,INDEPENDENCIA,JR. TUNGASUCA 142 URB. TUPAC AMARU INDEPENDENCIA LIMA
20608998871,CB SOLUCIONES GLOBALES S.A.C,SAN MARTIN DE PORRES,PASAJE SATÉLITE SANTA ROSA MZ C LOTE 7-SAN MARTIN DE PORRES-LIMA
20294866117,CABLES ELECTRICOS BRANDE SAC,LA VICTORIA,JR LONDRAS 457 LA VICTORIA
20603900279,ADS GROUP SAC,MAGDALENA DEL MAR,AV. LAS TORRES 262 URB. EL PINO SAN LUIS
